expected_salary,job_field,job_salary,job_location,job_title,match_score,description,requirements,company_id,company_name
18113,Engineering,10708,Durban,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,5,FinanceHub
22412,Finance,8669,Port Elizabeth,Auditor,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",1,TechCorp
9215,Finance,26326,Port Elizabeth,Auditor,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",5,FinanceHub
11973,IT,28864,Johannesburg,System Administrator,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,2,BuildRight
14396,Education,10660,Port Elizabeth,Principal,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,1,TechCorp
18233,Healthcare,18790,Cape Town,Pharmacist,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,5,FinanceHub
25387,Education,25676,Johannesburg,Tutor,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,2,BuildRight
24446,Engineering,28788,Durban,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,3,EduPlus
9771,Retail,9851,Johannesburg,Sales Associate,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
11218,Engineering,23552,Durban,Software Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,2,BuildRight
8369,Engineering,27287,Port Elizabeth,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,3,EduPlus
18925,Retail,14848,Port Elizabeth,Sales Associate,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,1,TechCorp
17595,Retail,11223,Pretoria,Cashier,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,3,EduPlus
17126,Retail,16337,Durban,Merchandiser,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
9095,Retail,25103,Port Elizabeth,Merchandiser,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,4,HealthFirst
9712,Education,29785,Durban,Lecturer,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,1,TechCorp
16077,IT,8903,Pretoria,Data Scientist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,1,TechCorp
24529,Finance,17429,Durban,Auditor,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",5,FinanceHub
22075,Finance,20571,Cape Town,Accountant,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",5,FinanceHub
16943,Finance,18121,Durban,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",4,HealthFirst
18722,Engineering,29419,Johannesburg,Software Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,1,TechCorp
8012,Retail,24682,Cape Town,Cashier,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,3,EduPlus
28997,Education,12645,Port Elizabeth,Principal,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,2,BuildRight
16119,Finance,27671,Pretoria,Investment Banker,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",3,EduPlus
20700,Retail,19827,Durban,Sales Associate,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
24224,Engineering,24451,Cape Town,Electrical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,3,EduPlus
23204,Healthcare,25419,Durban,Pharmacist,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,1,TechCorp
12944,Engineering,22265,Port Elizabeth,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,3,EduPlus
9610,IT,15032,Johannesburg,Data Scientist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,4,HealthFirst
27316,IT,12533,Durban,Data Scientist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,2,BuildRight
8450,Engineering,24222,Pretoria,Electrical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,5,FinanceHub
25588,Healthcare,13664,Cape Town,Doctor,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,2,BuildRight
12121,Education,21768,Cape Town,Lecturer,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,2,BuildRight
19884,Finance,10962,Johannesburg,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",3,EduPlus
27294,Finance,16127,Port Elizabeth,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",1,TechCorp
16909,Finance,26363,Durban,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",5,FinanceHub
9114,Healthcare,11280,Pretoria,Medical Technician,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,1,TechCorp
27315,Healthcare,17303,Cape Town,Medical Technician,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,5,FinanceHub
16789,IT,15289,Port Elizabeth,Cybersecurity Specialist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,3,EduPlus
15731,Engineering,15737,Johannesburg,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,1,TechCorp
23442,Retail,18654,Johannesburg,Merchandiser,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
12505,Healthcare,25260,Durban,Doctor,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,4,HealthFirst
18127,Finance,23791,Port Elizabeth,Auditor,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",2,BuildRight
12136,Engineering,21779,Pretoria,Software Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,1,TechCorp
16239,Engineering,15547,Johannesburg,Mechanical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,5,FinanceHub
12842,Finance,24675,Johannesburg,Investment Banker,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",5,FinanceHub
29349,Education,24037,Johannesburg,Principal,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,3,EduPlus
29347,Healthcare,13797,Port Elizabeth,Medical Technician,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,4,HealthFirst
13778,Education,26879,Pretoria,Teacher,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,4,HealthFirst
15151,Education,12087,Port Elizabeth,Teacher,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,5,FinanceHub
18998,IT,19194,Port Elizabeth,Cybersecurity Specialist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,5,FinanceHub
12048,Retail,10308,Johannesburg,Cashier,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,2,BuildRight
29594,IT,21019,Johannesburg,Data Scientist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,3,EduPlus
10628,Education,21858,Pretoria,Lecturer,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,2,BuildRight
24068,Engineering,10025,Cape Town,Software Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,2,BuildRight
23260,Finance,24657,Cape Town,Auditor,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",2,BuildRight
17430,Healthcare,15111,Johannesburg,Doctor,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,5,FinanceHub
24227,IT,28601,Durban,System Administrator,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,2,BuildRight
10138,Finance,16194,Johannesburg,Accountant,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",1,TechCorp
16419,Retail,28233,Pretoria,Store Manager,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,1,TechCorp
23056,Engineering,28831,Port Elizabeth,Electrical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,1,TechCorp
8745,Education,15409,Pretoria,Teacher,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,2,BuildRight
22279,Finance,18071,Port Elizabeth,Accountant,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",4,HealthFirst
23966,IT,16552,Johannesburg,Software Developer,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,1,TechCorp
24633,Engineering,26176,Port Elizabeth,Electrical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,5,FinanceHub
16557,Healthcare,14673,Pretoria,Pharmacist,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,3,EduPlus
12746,Retail,20216,Durban,Cashier,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
19693,IT,17679,Cape Town,Data Scientist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,3,EduPlus
24932,Retail,9002,Cape Town,Merchandiser,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,3,EduPlus
17085,Retail,26050,Pretoria,Cashier,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,2,BuildRight
26683,Engineering,26277,Durban,Software Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,2,BuildRight
10031,Engineering,16258,Cape Town,Electrical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,3,EduPlus
23650,Education,10069,Pretoria,Principal,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,4,HealthFirst
19351,Education,28063,Cape Town,Teacher,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,4,HealthFirst
10084,Finance,27731,Durban,Investment Banker,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",2,BuildRight
13927,IT,23598,Durban,Cybersecurity Specialist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,5,FinanceHub
21446,Retail,24415,Johannesburg,Sales Associate,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,1,TechCorp
25982,Retail,17212,Cape Town,Store Manager,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
20017,Engineering,29550,Pretoria,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,1,TechCorp
22298,Engineering,8561,Johannesburg,Mechanical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,5,FinanceHub
18209,Education,10215,Durban,Tutor,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,2,BuildRight
14845,Healthcare,23595,Durban,Pharmacist,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,3,EduPlus
20621,Retail,15536,Port Elizabeth,Sales Associate,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,2,BuildRight
24860,Engineering,24248,Johannesburg,Mechanical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,4,HealthFirst
16178,Healthcare,10649,Cape Town,Doctor,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,2,BuildRight
15871,Finance,21974,Pretoria,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",2,BuildRight
9437,Retail,10657,Pretoria,Cashier,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,4,HealthFirst
10592,Retail,13892,Port Elizabeth,Merchandiser,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,1,TechCorp
27501,Healthcare,20842,Johannesburg,Nurse,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,2,BuildRight
10200,IT,28065,Port Elizabeth,System Administrator,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,4,HealthFirst
16686,Finance,20151,Johannesburg,Accountant,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",1,TechCorp
10072,IT,24255,Pretoria,Data Scientist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,3,EduPlus
14305,Finance,16319,Johannesburg,Investment Banker,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",4,HealthFirst
9097,Finance,14345,Port Elizabeth,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",5,FinanceHub
28165,Finance,25498,Pretoria,Investment Banker,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",3,EduPlus
26924,Finance,26638,Durban,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",3,EduPlus
26150,Education,10564,Port Elizabeth,Lecturer,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,5,FinanceHub
9128,Healthcare,11667,Johannesburg,Doctor,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,4,HealthFirst
27606,Engineering,11813,Johannesburg,Electrical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,3,EduPlus
9822,Finance,22810,Johannesburg,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",3,EduPlus
25821,IT,9156,Johannesburg,Cybersecurity Specialist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,3,EduPlus
11133,Engineering,15798,Johannesburg,Electrical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,5,FinanceHub
15166,Education,19671,Durban,Lecturer,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,5,FinanceHub
10048,Engineering,16717,Pretoria,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,5,FinanceHub
15892,Healthcare,16199,Pretoria,Pharmacist,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,1,TechCorp
21677,Finance,23986,Cape Town,Accountant,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",4,HealthFirst
24461,Retail,15521,Pretoria,Sales Associate,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
14361,Retail,28692,Port Elizabeth,Merchandiser,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,3,EduPlus
17864,IT,12602,Pretoria,Cybersecurity Specialist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,4,HealthFirst
17249,Healthcare,19694,Pretoria,Nurse,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,3,EduPlus
12209,Finance,14359,Port Elizabeth,Accountant,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",2,BuildRight
18375,Healthcare,22372,Port Elizabeth,Medical Technician,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,5,FinanceHub
12133,IT,19219,Port Elizabeth,Cybersecurity Specialist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,3,EduPlus
24754,Finance,21331,Pretoria,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",4,HealthFirst
23458,IT,9399,Port Elizabeth,System Administrator,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,4,HealthFirst
14206,Retail,12303,Johannesburg,Merchandiser,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
15894,Finance,14718,Port Elizabeth,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",2,BuildRight
26646,Engineering,19320,Johannesburg,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,5,FinanceHub
25343,Retail,18770,Johannesburg,Sales Associate,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
21556,Engineering,12626,Durban,Mechanical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,4,HealthFirst
18741,Retail,15232,Pretoria,Store Manager,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,4,HealthFirst
29273,Education,27009,Johannesburg,Teacher,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,2,BuildRight
12804,Engineering,8330,Pretoria,Electrical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,1,TechCorp
27955,Engineering,28550,Pretoria,Software Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,1,TechCorp
19786,Healthcare,28088,Johannesburg,Medical Technician,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,4,HealthFirst
13348,IT,14090,Durban,System Administrator,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,5,FinanceHub
9690,Healthcare,29338,Durban,Doctor,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,2,BuildRight
24888,Finance,19377,Durban,Investment Banker,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",1,TechCorp
15619,IT,10106,Johannesburg,Data Scientist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,5,FinanceHub
28321,Retail,14827,Johannesburg,Cashier,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
22824,Education,18848,Durban,Teacher,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,3,EduPlus
